Year,Municipality,Crop,Variety,Farms,Acres,Yield/Acre,t,i,Latitude,Longitude
1996,ALEXANDER,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),3,575.0,0.579,1,1,50.6667,-96.5
1996,ALEXANDER,ARGENTINE CANOLA,QUANTUM (91-21864 NA),6,1125.0,0.78,1,1,50.6667,-96.5
1996,ALEXANDER,ARGENTINE CANOLA,45A71 (NS1471)(ST),4,1012.0,0.756,1,1,50.6667,-96.5
1996,ALEXANDER,BARLEY,ROBUST,9,1247.0,1.607,1,1,50.6667,-96.5
1996,ALEXANDER,CANARYSEED,KEET,3,535.0,0.184,1,1,50.6667,-96.5
1996,ALEXANDER,OATS,ROBERT,4,659.0,1.215,1,1,50.6667,-96.5
1996,ALEXANDER,POLISH CANOLA,REWARD (S83-5009W),5,1043.0,0.278,1,1,50.6667,-96.5
1996,ALEXANDER,RED SPRING WHEAT,AC DOMAIN (BW 148),10,2240.0,1.163,1,1,50.6667,-96.5
1996,ALEXANDER,RED SPRING WHEAT,KATEPWA,8,1054.0,0.788,1,1,50.6667,-96.5
1996,ALEXANDER,RED SPRING WHEAT,ROBLIN,14,2507.0,0.874,1,1,50.6667,-96.5
1996,ALONSA,ALFALFA,ALGONQUIN,6,1130.0,2.552,1,2,,
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALF & MEADOW BROME),3,639.0,1.479,1,2,,
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALF BRM TIM),7,1115.0,1.534,1,2,,
1996,ALONSA,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),26,5104.0,1.642,1,2,,
1996,ALONSA,BARLEY,BEDFORD,6,801.0,1.351,1,2,,
1996,ALONSA,BARLEY,ROBUST,6,1027.0,1.411,1,2,,
1996,ALONSA,OATS,ROBERT,13,1256.0,1.039,1,2,,
1996,ALONSA,RED SPRING WHEAT,CDC TEAL (BW 616),7,1305.0,1.093,1,2,,
1996,ALONSA,RED SPRING WHEAT,KATEPWA,13,1988.0,0.998,1,2,,
1996,ARGYLE,ALFALFA,ALGONQUIN,7,559.0,2.061,1,3,,
1996,ARGYLE,ALFALFA,COMMON (DELETED),11,1161.0,2.09,1,3,,
1996,ARGYLE,ALFALFA/GRASS MIX.,NO VAR (ALFALFA & BROME),19,1677.0,1.658,1,3,,
1996,ARGYLE,ARGENTINE CANOLA,CRUSHER (SV0 2406),5,652.0,0.683,1,3,,
1996,ARGYLE,ARGENTINE CANOLA,INNOVATOR (HCN 92) (LT),10,1130.0,0.61,1,3,,
1996,ARGYLE,ARGENTINE CANOLA,QUANTUM (91-21864 NA),32,3624.0,0.711,1,3,,
1996,ARGYLE,ARGENTINE CANOLA,QUEST (RU3) (RT),8,1392.0,0.721,1,3,,
1996,ARGYLE,BARLEY,AC LACOMBE (BT 634),10,1189.0,1.619,1,3,,
1996,ARGYLE,BARLEY,ARGYLE,5,596.0,1.445,1,3,,
1996,ARGYLE,BARLEY,BEDFORD,49,6811.0,1.398,1,3,,
1996,ARGYLE,BARLEY,EXCEL (M52),13,2451.0,1.759,1,3,,
1996,ARGYLE,BARLEY,FALCON,3,559.0,1.456,1,3,,
1996,ARGYLE,BARLEY,ROBUST,23,3025.0,1.53,1,3,,
1996,ARGYLE,DURUM WHEAT,PLENTY (DT 606),3,556.0,0.76,1,3,,
1996,ARGYLE,DURUM WHEAT,SCEPTRE,3,675.0,0.779,1,3,,
1996,ARGYLE,FALL RYE,PRIMA,5,563.0,0.799,1,3,,
1996,ARGYLE,FLAX,FLANDERS (FP 859),36,4253.0,0.513,1,3,,
1996,ARGYLE,FLAX,MCGREGOR,5,821.0,0.618,1,3,,
1996,ARGYLE,FLAX,NORLIN,5,544.0,0.478,1,3,,
1996,ARGYLE,OATS,DUMONT,16,2304.0,0.912,1,3,,
1996,ARGYLE,OATS,RIEL,15,1172.0,1.031,1,3,,
1996,ARGYLE,OATS,ROBERT,38,4502.0,1.076,1,3,,
1996,ARGYLE,OIL SUNFLOWERS,INTERSTATE 6111,4,528.0,0.835,1,3,,
1996,ARGYLE,OIL SUNFLOWERS,NK 221,8,1211.0,0.692,1,3,,
1996,ARGYLE,RED SPRING WHEAT,AC CORA (BW 152),14,2149.0,1.044,1,3,,
1996,ARGYLE,RED SPRING WHEAT,AC DOMAIN (BW 148),58,12214.0,1.028,1,3,,
