component,explained_variance_ratio,explained_variance_ratio_cum
PC1,0.24722092690274852,0.24722092690274852
PC2,0.13098040366849886,0.3782013305712474
PC3,0.11027664895385078,0.4884779795250982
PC4,0.09003654447211618,0.5785145239972144
PC5,0.07003080379931845,0.6485453277965328
PC6,0.06645028400535855,0.7149956118018914
PC7,0.050318219850048605,0.76531383165194
PC8,0.033718086559104264,0.7990319182110442
PC9,0.03069440425057087,0.8297263224616152
PC10,0.026026360331287184,0.8557526827929023
PC11,0.021232446841636308,0.8769851296345386
PC12,0.01832062470032223,0.8953057543348608
PC13,0.017565149165977956,0.9128709035008388
PC14,0.0122208890857321,0.9250917925865709
PC15,0.011982601248949017,0.9370743938355199
PC16,0.009520073469542964,0.9465944673050629
PC17,0.008522246783263097,0.955116714088326
PC18,0.005433492744190136,0.9605502068325161
PC19,0.004831642894696205,0.9653818497272123
PC20,0.004720378705543733,0.9701022284327561
PC21,0.004129705032542802,0.9742319334652989
PC22,0.0037514640151568713,0.9779833974804558
PC23,0.003146706743516691,0.9811301042239725
PC24,0.0029965787372482657,0.9841266829612207
PC25,0.0024612503283790925,0.9865879332895998
PC26,0.002002361834398995,0.9885902951239988
PC27,0.0016668111660380124,0.9902571062900368
PC28,0.0015544606336068867,0.9918115669236437
PC29,0.0013835809803031027,0.9931951479039468
PC30,0.001219655793505264,0.994414803697452
PC31,0.0009724306495553449,0.9953872343470074
PC32,0.0007482864551497645,0.9961355208021572
PC33,0.000650108677990265,0.9967856294801475
PC34,0.0005777732792659385,0.9973634027594134
PC35,0.00046692937823223843,0.9978303321376456
PC36,0.0004062366157158298,0.9982365687533614
PC37,0.00029547309957166524,0.9985320418529331
PC38,0.0002692841466785322,0.9988013259996116
PC39,0.0002448571101350196,0.9990461831097466
PC40,0.0002073639234085514,0.9992535470331552
PC41,0.00016679425877705504,0.9994203412919322
PC42,0.00014027224106762494,0.9995606135329999
PC43,0.0001302629478835399,0.9996908764808834
PC44,0.00010467648275751478,0.9997955529636409
PC45,8.800818182496545e-05,0.9998835611454658
PC46,7.21567047685221e-05,0.9999557178502344
PC47,4.4282149765500003e-05,0.9999999999999999
PC48,3.097425710490402e-17,0.9999999999999999
PC49,2.0235883952641238e-17,0.9999999999999999
PC50,1.9531521673214703e-17,0.9999999999999999
PC51,1.730776309526939e-17,0.9999999999999999
PC52,1.524556209091806e-17,0.9999999999999999
PC53,1.0638727349179978e-17,0.9999999999999999
PC54,8.798848118612031e-18,0.9999999999999999
PC55,6.927971345860993e-18,0.9999999999999999
PC56,6.023184416597007e-18,0.9999999999999999
PC57,4.0414157810969396e-18,0.9999999999999999
PC58,3.995837356303522e-18,0.9999999999999999
PC59,2.4884185703721856e-18,0.9999999999999999
PC60,2.6699933763856394e-21,0.9999999999999999
PC61,0.0,0.9999999999999999
PC62,0.0,0.9999999999999999
PC63,0.0,0.9999999999999999
PC64,0.0,0.9999999999999999
PC65,0.0,0.9999999999999999
PC66,0.0,0.9999999999999999
PC67,0.0,0.9999999999999999
PC68,0.0,0.9999999999999999
PC69,0.0,0.9999999999999999
PC70,0.0,0.9999999999999999
PC71,0.0,0.9999999999999999
PC72,0.0,0.9999999999999999
