model,test_year,mse,r2,n_test
GLM (LinearRegression),1996,1.3216058754107503,-16.051185132144212,83
GLM (LinearRegression),1997,0.2336082055588474,-4.99803004098012,82
GLM (LinearRegression),1998,0.4801989931473568,-9.512886045880684,81
GLM (LinearRegression),1999,0.45690830604348426,-4.812992882900217,83
GLM (LinearRegression),2000,141.48379557863169,-1913.5985778730917,84
GLM (LinearRegression),2001,0.21043813068079573,-1.5624956649459856,83
GLM (LinearRegression),2002,1.4418305663989293,-19.649270056727605,83
GLM (LinearRegression),2003,0.2862382054703734,-1.6154663283096409,84
GLM (LinearRegression),2004,10403924.310715202,-128968681.96798266,83
GLM (LinearRegression),2005,0.5569399928704233,-2.5487903617815304,83
GLM (LinearRegression),2006,167293.30943760974,-1613945.037473653,83
GLM (LinearRegression),2007,1.1957911142040727,-9.360806998637115,83
GLM (LinearRegression),2008,0.1850520408730686,-0.5876603377602476,82
GLM (LinearRegression),2009,7955.24444207679,-51857.349447888715,83
GLM (LinearRegression),2010,0.3181553888547305,-0.7776103971783801,83
GLM (LinearRegression),2011,2379327.7467580675,-23139988.551214267,82
SR (SelectKBest + LR),1996,0.11409670496158487,-0.4720606766846973,83
SR (SelectKBest + LR),1997,0.06291271266976245,-0.6153214295279892,82
SR (SelectKBest + LR),1998,0.06777676973816811,-0.4838212220003648,81
SR (SelectKBest + LR),1999,0.0778101171702505,0.010064708070219308,83
SR (SelectKBest + LR),2000,0.06806229336604595,0.07896187296594004,84
SR (SelectKBest + LR),2001,0.1566257495625076,-0.9072247171860484,83
SR (SelectKBest + LR),2002,0.07096906535931122,-0.016388076678145902,83
SR (SelectKBest + LR),2003,0.17284708669558574,-0.5793689541053009,84
SR (SelectKBest + LR),2004,0.12235081486260933,-0.5166799547588665,83
SR (SelectKBest + LR),2005,0.30886196986703074,-0.9680511290558185,83
SR (SelectKBest + LR),2006,0.118732987434253,-0.1454650232643495,83
SR (SelectKBest + LR),2007,0.1519944457521996,-0.3169399727071458,83
SR (SelectKBest + LR),2008,0.17648446244585514,-0.51415450450728,82
SR (SelectKBest + LR),2009,0.21363301417364455,-0.3926228896280699,83
SR (SelectKBest + LR),2010,0.17216239384419035,0.03808745027955984,83
SR (SelectKBest + LR),2011,0.13202072345004706,-0.28395853212754907,82
PCASR (SelectKBest + PCA + LR),1996,0.0922856464839157,-0.1906572697006188,83
PCASR (SelectKBest + PCA + LR),1997,0.052577070229014304,-0.3499476439448459,82
PCASR (SelectKBest + PCA + LR),1998,0.059441877879339425,-0.30134735269402935,81
PCASR (SelectKBest + PCA + LR),1999,0.08010073301811278,-0.019077536544205964,83
PCASR (SelectKBest + PCA + LR),2000,0.0693498722570515,0.061537992700807176,84
PCASR (SelectKBest + PCA + LR),2001,0.13144884824660524,-0.60064672074569,83
PCASR (SelectKBest + PCA + LR),2002,0.08562874946343636,-0.2263376942455142,83
PCASR (SelectKBest + PCA + LR),2003,0.12881541786009418,-0.17703500630381175,84
PCASR (SelectKBest + PCA + LR),2004,0.12851516033509622,-0.5930941512873327,83
PCASR (SelectKBest + PCA + LR),2005,0.2459219161620044,-0.56700064100014,83
PCASR (SelectKBest + PCA + LR),2006,0.12674572667873152,-0.22276715086532595,83
PCASR (SelectKBest + PCA + LR),2007,0.1464328939602059,-0.2687524890862085,83
PCASR (SelectKBest + PCA + LR),2008,0.19055254394012666,-0.6348520926638686,82
PCASR (SelectKBest + PCA + LR),2009,0.20354718297145927,-0.32687575102489697,83
PCASR (SelectKBest + PCA + LR),2010,0.18661321533684694,-0.042652752253499404,83
PCASR (SelectKBest + PCA + LR),2011,0.11233388407391795,-0.09249551990454985,82
