Municipality,Year,Yield_restated
ALEXANDER,1996,0.9076188374532914
ALEXANDER,1997,0.8597996130792982
ALEXANDER,1998,0.9385021821927714
ALEXANDER,1999,1.0138546241757878
ALEXANDER,2000,0.7136701616608675
ALEXANDER,2001,0.6123180749301418
ALEXANDER,2002,0.8927002607469375
ALEXANDER,2003,1.0633004811384341
ALEXANDER,2004,1.1767169818818612
ALEXANDER,2005,0.36778669984732226
ALEXANDER,2006,1.0763714886096774
ALEXANDER,2007,0.6077834942407927
ALEXANDER,2008,1.0466342243685374
ALEXANDER,2009,0.6202019937434363
ALEXANDER,2010,0.6017259068072013
ALEXANDER,2011,0.6444260752696405
ALONSA,1996,1.3531972192805926
ALONSA,1997,0.9458286430612315
ALONSA,1998,1.1062054371474617
ALONSA,1999,1.3832009808990247
ALONSA,2000,1.4661328991197724
ALONSA,2001,1.1738935384364941
ALONSA,2002,0.8091959925061475
ALONSA,2003,0.8821328401245884
ALONSA,2004,1.3063945923940439
ALONSA,2005,1.1632670469431658
ALONSA,2006,1.158628021327636
ALONSA,2007,0.9218566248296897
ALONSA,2008,0.9311029342275255
ALONSA,2009,0.899112240470888
ALONSA,2010,0.6838523203210657
ALONSA,2011,0.653411816656897
ARGYLE,1996,1.0113669844663766
ARGYLE,1997,0.8716994941452376
ARGYLE,1998,1.0098322728506668
ARGYLE,1999,0.8163432263013691
ARGYLE,2000,1.0597831002124332
ARGYLE,2001,0.9827320581064704
ARGYLE,2002,0.8643668108894835
ARGYLE,2003,0.9893233769170117
ARGYLE,2004,1.2377087484176235
ARGYLE,2005,0.9631502992132975
ARGYLE,2006,0.9974161522678848
ARGYLE,2007,1.1113027826378938
ARGYLE,2008,1.1602450470358163
ARGYLE,2009,1.3460745754057062
ARGYLE,2010,1.3176980231128812
ARGYLE,2011,1.0129403527781873
ARMSTRONG,1996,1.0520195589310541
ARMSTRONG,1997,0.7505928814764826
ARMSTRONG,1999,0.9127818235604841
ARMSTRONG,2000,0.8866497249854846
ARMSTRONG,2001,1.2095693995956336
ARMSTRONG,2002,1.0267786667055376
ARMSTRONG,2003,0.5987870329554135
ARMSTRONG,2004,0.9783597797103036
ARMSTRONG,2005,0.9475282425926524
ARMSTRONG,2006,1.1209486976691108
ARMSTRONG,2007,1.1188709670507129
ARMSTRONG,2008,0.7548126455538525
ARMSTRONG,2009,0.7558071877786675
ARMSTRONG,2010,0.589182232686007
ARMSTRONG,2011,0.4964780012929619
BIFROST-RIVERTON,1996,1.2984707276117946
BIFROST-RIVERTON,1997,1.0853176732088639
BIFROST-RIVERTON,1998,1.1726378420810142
BIFROST-RIVERTON,1999,1.1639076945619702
BIFROST-RIVERTON,2000,1.007195581699887
BIFROST-RIVERTON,2001,0.7697022061185993
BIFROST-RIVERTON,2002,0.9963462174034232
BIFROST-RIVERTON,2003,0.9875680165704165
BIFROST-RIVERTON,2004,1.3496758698547973
BIFROST-RIVERTON,2005,0.7659051838697457
BIFROST-RIVERTON,2006,1.155082158978234
BIFROST-RIVERTON,2007,1.093719580695288
BIFROST-RIVERTON,2008,0.7743813927495575
BIFROST-RIVERTON,2009,0.6527419861286986
