Municipality,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp,HDD,CDD,Total Rain (mm),Total Snow,Ptol
ALEXANDER,1/1/96,1996,1,1,-10,-18,-14,32,0,0,4,4
ALEXANDER,1/2/96,1996,1,2,-11,-21,-16,34,0,0,2,2
ALEXANDER,1/3/96,1996,1,3,-14,-22,-18,36,0,0,1,1
ALEXANDER,1/4/96,1996,1,4,-26.5,-36,-31.25,49.3,0,0,0,0
ALEXANDER,1/5/96,1996,1,5,-30,-39,-34.5,52.5,0,0,0,0
ALEXANDER,1/6/96,1996,1,6,-10,-38.5,-24.25,42.3,0,0,0,0
ALEXANDER,1/7/96,1996,1,7,-6,-33,-19.5,37.5,0,0,0,0
ALEXANDER,1/8/96,1996,1,8,0,-10,-5,23,0,0,0,0
ALEXANDER,1/9/96,1996,1,9,-8,-14,-11,29,0,0,0,0
ALEXANDER,1/10/96,1996,1,10,-3.5,-13,-8.25,26.3,0,0,0,0
ALEXANDER,1/11/96,1996,1,11,3,-14,-5.5,23.5,0,0,0,0
ALEXANDER,1/12/96,1996,1,12,6,-5,0.5,17.5,0,0,0,0
ALEXANDER,1/13/96,1996,1,13,-3,-15,-9,27,0,0,0,0
ALEXANDER,1/14/96,1996,1,14,-17,-26,-21.5,39.5,0,0,1,1
ALEXANDER,1/15/96,1996,1,15,-17,-27,-22,40,0,0,5,5
ALEXANDER,1/16/96,1996,1,16,-16,-20,-18,36,0,0,0,0
ALEXANDER,1/17/96,1996,1,17,-22,-30.5,-26.25,44.3,0,0,2,2
ALEXANDER,1/18/96,1996,1,18,-31,-38,-34.5,52.5,0,0,0,0
ALEXANDER,1/19/96,1996,1,19,-30,-45,-37.5,55.5,0,0,0,0
ALEXANDER,1/20/96,1996,1,20,-24,-43,-33.5,51.5,0,0,0,0
ALEXANDER,1/21/96,1996,1,21,-18,-38.5,-28.25,46.3,0,0,0,0
ALEXANDER,1/22/96,1996,1,22,-23.5,-36,-29.75,47.8,0,0,0,0
ALEXANDER,1/23/96,1996,1,23,-21,-29.5,-25.25,43.3,0,0,0,0
ALEXANDER,1/24/96,1996,1,24,-21,-36,-28.5,46.5,0,0,0,0
ALEXANDER,1/25/96,1996,1,25,-24.5,-37,-30.75,48.8,0,0,0,0
ALEXANDER,1/26/96,1996,1,26,-21.5,-35.5,-28.5,46.5,0,0,1,1
ALEXANDER,1/27/96,1996,1,27,-24,-34,-29,47,0,0,0,0
ALEXANDER,1/28/96,1996,1,28,-24,-33,-28.5,46.5,0,0,0,0
ALEXANDER,1/29/96,1996,1,29,-28,-37,-32.5,50.5,0,0,0,0
ALEXANDER,1/30/96,1996,1,30,-27,-41,-34,52,0,0,0,0
ALEXANDER,1/31/96,1996,1,31,-28,-42,-35,53,0,0,0,0
ALEXANDER,2/1/96,1996,2,1,-32.5,-42,-37.25,55.3,0,0,0,0
ALEXANDER,2/2/96,1996,2,2,-28.5,-42.5,-35.5,53.5,0,0,0,0
ALEXANDER,2/3/96,1996,2,3,-22,-40,-31,49,0,0,0,0
ALEXANDER,2/4/96,1996,2,4,-16.5,-30,-23.25,41.3,0,0,0,0
ALEXANDER,2/5/96,1996,2,5,-8,-32,-20,38,0,0,0,0
ALEXANDER,2/6/96,1996,2,6,5,-16,-5.5,23.5,0,0.4,0,0.4
ALEXANDER,2/7/96,1996,2,7,-3,-11.5,-7.25,25.3,0,0,0,0
ALEXANDER,2/8/96,1996,2,8,1,-12,-5.5,23.5,0,0,0,0
ALEXANDER,2/9/96,1996,2,9,2,-4,-1,19,0,0,11,11
ALEXANDER,2/10/96,1996,2,10,-4,-10,-7,25,0,0,0,0
ALEXANDER,2/11/96,1996,2,11,-6,-17.5,-11.75,29.8,0,0,0,0
ALEXANDER,2/12/96,1996,2,12,-1,-20,-10.5,28.5,0,0,0,0
ALEXANDER,2/13/96,1996,2,13,1.5,-6,-2.25,20.3,0,0,0,0
ALEXANDER,2/14/96,1996,2,14,-5,-13,-9,27,0,0,0,0
ALEXANDER,2/15/96,1996,2,15,-14.5,-24,-19.25,37.3,0,0,0,0
ALEXANDER,2/16/96,1996,2,16,-4.5,-25,-14.75,32.8,0,0,0,0
ALEXANDER,2/17/96,1996,2,17,-16,-25,-20.5,38.5,0,0,0,0
ALEXANDER,2/18/96,1996,2,18,-2,-22,-12,30,0,0,0,0
ALEXANDER,2/19/96,1996,2,19,-2,-16,-9,27,0,0,0,0
ALEXANDER,2/20/96,1996,2,20,-8,-23,-15.5,33.5,0,0,0,0
ALEXANDER,2/21/96,1996,2,21,1,-13,-6,24,0,0,0,0
ALEXANDER,2/22/96,1996,2,22,2,-7.5,-2.75,20.8,0,0,0,0
ALEXANDER,2/23/96,1996,2,23,1.5,-6,-2.25,20.3,0,0,0,0
ALEXANDER,2/24/96,1996,2,24,-10,-19,-14.5,32.5,0,0,0,0
ALEXANDER,2/25/96,1996,2,25,-15,-23,-19,37,0,0,0,0
ALEXANDER,2/26/96,1996,2,26,-14,-22,-18,36,0,0,0,0
ALEXANDER,2/27/96,1996,2,27,-16,-21,-18.5,36.5,0,0,0,0
ALEXANDER,2/28/96,1996,2,28,-15,-26,-20.5,38.5,0,0,0,0
ALEXANDER,2/29/96,1996,2,29,-8,-22,-15,33,0,0,0,0
ALEXANDER,3/1/96,1996,3,1,-7,-21,-14,32,0,0,0,0
ALEXANDER,3/2/96,1996,3,2,-13,-26,-19.5,37.5,0,0,0,0
ALEXANDER,3/3/96,1996,3,3,-9,-28,-18.5,36.5,0,0,0,0
ALEXANDER,3/4/96,1996,3,4,-12,-24,-18,36,0,0,0,0
ALEXANDER,3/5/96,1996,3,5,-16.5,-29,-22.75,40.8,0,0,0,0
ALEXANDER,3/6/96,1996,3,6,-16.5,-33,-24.75,42.8,0,0,0,0
ALEXANDER,3/7/96,1996,3,7,-15,-29,-22,40,0,0,0,0
ALEXANDER,3/8/96,1996,3,8,-9,-23,-16,34,0,0,0,0
ALEXANDER,3/9/96,1996,3,9,-4,-25,-14.5,32.5,0,0,0,0
ALEXANDER,3/10/96,1996,3,10,3,-11,-4,22,0,0,0,0
ALEXANDER,3/11/96,1996,3,11,3,-8,-2.5,20.5,0,0,0,0
ALEXANDER,3/12/96,1996,3,12,4,-0.5,1.75,16.2,0,0,0,0
ALEXANDER,3/13/96,1996,3,13,4,-3,0.5,17.5,0,0,0,0
ALEXANDER,3/14/96,1996,3,14,5,-9,-2,20,0,0,0,0
ALEXANDER,3/15/96,1996,3,15,3.5,-8,-2.25,20.3,0,0,0,0
ALEXANDER,3/16/96,1996,3,16,0,-7,-3.5,21.5,0,0,2,2
ALEXANDER,3/17/96,1996,3,17,-4.5,-8,-6.25,24.3,0,0,2,2
ALEXANDER,3/18/96,1996,3,18,-4,-9,-6.5,24.5,0,0,2,2
ALEXANDER,3/19/96,1996,3,19,-6,-16,-11,29,0,0,2,2
ALEXANDER,3/20/96,1996,3,20,-3,-21,-12,30,0,0,0,0
ALEXANDER,3/21/96,1996,3,21,0,-5,-2.5,20.5,0,0,1,1
ALEXANDER,3/22/96,1996,3,22,-2.5,-12.5,-7.5,25.5,0,0,0,0
ALEXANDER,3/23/96,1996,3,23,-11,-13.5,-12.25,30.3,0,0,4,4
ALEXANDER,3/24/96,1996,3,24,-12.5,-18,-15.25,33.3,0,0,0,0
ALEXANDER,3/25/96,1996,3,25,-14,-26,-20,38,0,0,0,0
ALEXANDER,3/26/96,1996,3,26,-7,-26.5,-16.75,34.8,0,0,0,0
ALEXANDER,3/27/96,1996,3,27,-7,-20,-13.5,31.5,0,0,0,0
ALEXANDER,3/28/96,1996,3,28,-9,-22,-15.5,33.5,0,0,1,1
ALEXANDER,3/29/96,1996,3,29,-9,-21,-15,33,0,0,23,23
ALEXANDER,3/30/96,1996,3,30,-4,-20,-12,30,0,0,0,0
ALEXANDER,3/31/96,1996,3,31,-5,-22.5,-13.75,31.8,0,0,0,0
ALEXANDER,4/1/96,1996,4,1,-8,-22.5,-15.25,33.3,0,0,3,3
ALEXANDER,4/2/96,1996,4,2,-8,-12,-10,28,0,0,3,3
ALEXANDER,4/3/96,1996,4,3,-4,-13,-8.5,26.5,0,0,1,1
ALEXANDER,4/4/96,1996,4,4,-3,-20,-11.5,29.5,0,0,0,0
ALEXANDER,4/5/96,1996,4,5,2,-13.5,-5.75,23.8,0,0,0,0
ALEXANDER,4/6/96,1996,4,6,-2,-17,-9.5,27.5,0,0,0,0
ALEXANDER,4/7/96,1996,4,7,1,-6,-2.5,20.5,0,0,0,0
ALEXANDER,4/8/96,1996,4,8,3.5,0,1.75,16.2,0,0,0,0
ALEXANDER,4/9/96,1996,4,9,8,-2.5,2.75,15.2,0,0,0,0
ALEXANDER,4/10/96,1996,4,10,10,1,5.5,12.5,0,0,0,0
ALEXANDER,4/11/96,1996,4,11,3.5,-4,-0.25,18.3,0,0,0,0
ALEXANDER,4/12/96,1996,4,12,2.5,-6.5,-2,20,0,0,0,0
